original,uniformat,equivalent
"Goyal, Abhinav",Abhinav Goyal,"['Goyal, Abhinav']"
"Muthoo, Abhinay",Abhinay Muthoo,"['Muthoo, Abhinay', 'Abhinay Muthoo']"
Abhiroop Mukherjee,Abhiroop Mukherjee,"['Abhiroop Mukherjee', 'Mukherjee, Abhiroop']"
"Mukhopadhyay, Abhiroop",Abhiroop Mukhopadhyay,"['Mukhopadhyay, Abhiroop']"
"Sarkar, Abhirup",Abhirup Sarkar,"['Sarkar, Abhirup']"
"Mistry, Abhishek",Abhishek Mistry,"['Mistry, Abhishek']"
"Varma, Abhishek",Abhishek Varma,"['Varma, Abhishek']"
Abi Adams,Abi Adams,['Abi Adams']
Abigail Barr,Abigail Barr,"['Abigail Barr', 'Barr, Abigail']"
"McKnight, Abigail",Abigail McKnight,"['McKnight, Abigail']"
"Payne, Abigail",Abigail Payne,"['Payne, Abigail', 'A. Abigail Payne', 'Payne, A. Abigail']"
Abigail Wozniak,Abigail Wozniak,['Abigail Wozniak']
Abner D. Goldstine,Abner D. Goldstine,['Abner D. Goldstine']
"Jalilvand, Abolhassan",Abolhassan Jalilvand,"['Jalilvand, Abolhassan']"
"Mozumdar, Abon",Abon Mozumdar,"['Mozumdar, Abon']"
Abraham Berglund,Abraham Berglund,['Abraham Berglund']
Abraham Hirsch,Abraham Hirsch,"['Abraham Hirsch', 'Hirsch, Abraham']"
"Hollander, Abraham",Abraham Hollander,"['Hollander, Abraham']"
"Brodt, Abraham I.",Abraham I. Brodt,"['Brodt, Abraham I.']"
Abraham L. Wickelgren,Abraham L. Wickelgren,"['Abraham L. Wickelgren', 'Wickelgren, Abraham L.']"
"Lioui, Abraham",Abraham Lioui,"['Lioui, Abraham']"
"Mehrez, Abraham",Abraham Mehrez,"['Mehrez, Abraham']"
Abraham Neyman,Abraham Neyman,"['Abraham Neyman', 'Neyman, Abraham', 'A. Neyman', 'Neyman, A.']"
"Robinson, Abraham",Abraham Robinson,"['Robinson, Abraham']"
"Subotnik, Abraham",Abraham Subotnik,"['Subotnik, Abraham', 'Subotnik, A.']"
"Bergson, Abram",Abram Bergson,"['Bergson, Abram', 'Abram Bergson']"
Abram Burk,Abram Burk,['Abram Burk']
Abram L. Harris,Abram L. Harris,['Abram L. Harris']
"Hasan, Abrar",Abrar Hasan,"['Hasan, Abrar']"
Abrea Dilip,Abrea Dilip,['Abrea Dilip']
Abreu Dilip,Abreu Dilip,['Abreu Dilip']
Abrizio Coricelli,Abrizio Coricelli,['Abrizio Coricelli']
"Jalal, Abu M.",Abu M. Jalal,"['Jalal, Abu M.', 'Jalal, Abu']"
Abuzer Pinar,Abuzer Pinar,['Abuzer Pinar']
Acheson J. Duncan,Acheson J. Duncan,['Acheson J. Duncan']
Achille Loria,Achille Loria,['Achille Loria']
"Machauer, Achim",Achim Machauer,"['Machauer, Achim']"
"Perst, Achim",Achim Perst,"['Perst, Achim']"
"Wambach, Achim",Achim Wambach,"['Wambach, Achim']"
"Adhvaryu, Achyuta",Achyuta Adhvaryu,"['Adhvaryu, Achyuta', 'Achyuta Adhvaryu']"
"Ferrer-i-Carbonell, Ada",Ada Ferrer-i-Carbonell,"['Ferrer-i-Carbonell, Ada', 'Ada Ferrer-i-Carbonell']"
Ada Ma,Ada Ma,['Ada Ma']
Adah L. Lee,Adah L. Lee,['Adah L. Lee']
Adair Morse,Adair Morse,"['Adair Morse', 'Morse, Adair']"
"Mayer, Adalbert",Adalbert Mayer,"['Mayer, Adalbert']"
"Majewski, Adam A.",Adam A. Majewski,"['Majewski, Adam A.']"
"Avakian, Adam",Adam Avakian,"['Avakian, Adam']"
"Ashcraft, Adam B.",Adam B. Ashcraft,"['Ashcraft, Adam B.', 'Adam Ashcraft', 'Adam B. Ashcraft']"
Adam B. Jaffe et al.,Adam B. Jaffe et al.,['Adam B. Jaffe et al.']
"Steen, Adam B.",Adam B. Steen,"['Steen, Adam B.']"
Adam Bonica,Adam Bonica,['Adam Bonica']
"Brandenburger, Adam",Adam Brandenburger,"['Brandenburger, Adam', 'Adam Brandenburger']"
"Kolasinski, Adam C.",Adam C. Kolasinski,"['Kolasinski, Adam C.', 'Adam C. Kolasinski']"
Adam Cagliarini,Adam Cagliarini,['Adam Cagliarini']
Adam Copeland,Adam Copeland,['Adam Copeland']
"Clark-Joseph, Adam D.",Adam D. Clark-Joseph,"['Clark-Joseph, Adam D.']"
"Clements, Adam E.",Adam E. Clements,"['Clements, Adam E.', 'Clements, A.E.']"
"Gifford, Adam, Jr",Adam Gifford,"['Gifford, Adam, Jr']"
"Goliński, Adam",Adam Goliński,"['Goliński, Adam']"
"Gulan, Adam",Adam Gulan,"['Gulan, Adam', 'Adam Gulan']"
Adam Guren,Adam Guren,"['Adam Guren', 'Guren, Adam']"
Adam Hale Shapiro,Adam Hale Shapiro,['Adam Hale Shapiro']
"Honig, Adam",Adam Honig,"['Honig, Adam']"
"Isen, Adam",Adam Isen,"['Isen, Adam', 'Adam Isen']"
"Grossberg, Adam J",Adam J Grossberg,"['Grossberg, Adam J']"
Adam Jaffe,Adam Jaffe,"['Adam Jaffe', 'Jaffe, Adam B.', 'Adam B. Jaffe', 'Jaffe, Adam B']"
"Gehr, Adam K, Jr",Adam K Gehr,"['Gehr, Adam K, Jr']"
Adam Kalai,Adam Kalai,['Adam Kalai']
Adam L. Aiken,Adam L. Aiken,"['Adam L. Aiken', 'Aiken, Adam L.']"
"Lerrick, Adam",Adam Lerrick,"['Lerrick, Adam']"
"Looney, Adam",Adam Looney,"['Looney, Adam', 'Adam Looney']"
"Pilarski, Adam M",Adam M Pilarski,"['Pilarski, Adam M']"
Adam M. Lavecchia,Adam M. Lavecchia,['Adam M. Lavecchia']
Adam M. Rosen,Adam M. Rosen,"['Adam M. Rosen', 'Rosen, Adam M.']"
"McCloskey, Adam",Adam McCloskey,"['McCloskey, Adam']"
"Meirowitz, Adam",Adam Meirowitz,"['Meirowitz, Adam']"
"Osman, Adam",Adam Osman,"['Osman, Adam', 'Adam Osman']"
Adam Przeworski,Adam Przeworski,"['Adam Przeworski', 'Przeworski, Adam']"
"Smedema, Adam R.",Adam R. Smedema,"['Smedema, Adam R.']"
Adam Ray,Adam Ray,['Adam Ray']
"Rosevear, Adam",Adam Rosevear,"['Rosevear, Adam']"
Adam S. Booij,Adam S. Booij,['Adam S. Booij']
Adam S. Koch,Adam S. Koch,['Adam S. Koch']
Adam S. Posen,Adam S. Posen,['Adam S. Posen']
"Yore, Adam S.",Adam S. Yore,"['Yore, Adam S.']"
Adam Sacarny,Adam Sacarny,['Adam Sacarny']
"Sanjurjo, Adam",Adam Sanjurjo,"['Sanjurjo, Adam']"
"Schwartz, Adam",Adam Schwartz,"['Schwartz, Adam']"
"Shimrat, Adam",Adam Shimrat,"['Shimrat, Adam']"
Adam Shirley Arnold Jr.,Adam Shirley Arnold Jr.,['Adam Shirley Arnold Jr.']
Adam Shortt,Adam Shortt,['Adam Shortt']
"Storeygard, Adam",Adam Storeygard,"['Storeygard, Adam', 'Adam Storeygard']"
"Szeidl, Adam",Adam Szeidl,"['Szeidl, Adam', 'Adam Szeidl']"
Adam V. Reed,Adam V. Reed,"['Adam V. Reed', 'Reed, Adam V.']"
"Wagstaff, Adam",Adam Wagstaff,"['Wagstaff, Adam']"
"Wantz, Adam",Adam Wantz,"['Wantz, Adam']"
"Lei, Adam Y.C.",Adam Y.C. Lei,"['Lei, Adam Y.C.']"
"Yavitz, Adam",Adam Yavitz,"['Yavitz, Adam']"
Adam Zawadowski,Adam Zawadowski,['Adam Zawadowski']
Adamos Adamou,Adamos Adamou,['Adamos Adamou']
"Malik, Adeel",Adeel Malik,"['Malik, Adeel']"
Adelina Gschwandtner,Adelina Gschwandtner,['Adelina Gschwandtner']
Adeline Delavande,Adeline Delavande,"['Adeline Delavande', 'Delavande, Adeline']"
"Pelletier, Adeline",Adeline Pelletier,"['Pelletier, Adeline']"
Aderonke Osikominu,Aderonke Osikominu,['Aderonke Osikominu']
Adger B. Carroll,Adger B. Carroll,['Adger B. Carroll']
"Brender, Adi",Adi Brender,"['Brender, Adi', 'Adi Brender']"
"Raveh, Adi",Adi Raveh,"['Raveh, Adi']"
"Schnytzer, Adi",Adi Schnytzer,"['Schnytzer, Adi']"
"Sunderam, Adi",Adi Sunderam,"['Sunderam, Adi', 'Adi Sunderam']"
"Bagh, Adib",Adib Bagh,"['Bagh, Adib', 'Adib Bagh']"
"Ardelean, Adina",Adina Ardelean,"['Ardelean, Adina']"
"Thapar, Aditi",Aditi Thapar,"['Thapar, Aditi']"
Aditya Aladangady,Aditya Aladangady,['Aditya Aladangady']
"Bhattacharjea, Aditya",Aditya Bhattacharjea,"['Bhattacharjea, Aditya']"
"Goenka, Aditya",Aditya Goenka,"['Goenka, Aditya']"
Aditya Kaul,Aditya Kaul,"['Aditya Kaul', 'Kaul, Aditya']"
Adlai Fisher,Adlai Fisher,"['Adlai Fisher', 'Fisher, A K', 'Fisher, Adlai J.', 'Fisher, Adlai']"
"Kim, Adlar J.",Adlar J. Kim,"['Kim, Adlar J.']"
Adnan Q. Khan,Adnan Q. Khan,['Adnan Q. Khan']
Adolf A. Berle,Adolf A. Berle,['Adolf A. Berle']
"Buse, Adolf",Adolf Buse,"['Buse, Adolf', 'A. Buse', 'Buse, A', 'Buse, A.']"
"Vandendorpe, Adolf F.",Adolf F. Vandendorpe,"['Vandendorpe, Adolf F.']"
Adolf Kozlik,Adolf Kozlik,['Adolf Kozlik']
"Vandendorpe, Adolf L.",Adolf L. Vandendorpe,"['Vandendorpe, Adolf L.']"
Adolf Sturmthal,Adolf Sturmthal,['Adolf Sturmthal']
"Barajas, Adolfo",Adolfo Barajas,"['Barajas, Adolfo']"
Adolfo De Motta,Adolfo De Motta,"['Adolfo De Motta', 'Motta, A.']"
Adolfo de Motta,Adolfo de Motta,"['Adolfo de Motta', 'de Motta, Adolfo', 'Motta, A.']"
Adolph Edward Grunewald,Adolph Edward Grunewald,['Adolph Edward Grunewald']
Adolphe Landry,Adolphe Landry,['Adolphe Landry']
"Yatchew, Adonis J",Adonis J Yatchew,"['Yatchew, Adonis J', 'Adonis Yatchew', 'Yatchew, Adonis', 'Yatchew, Adonis J.']"
"Kalwij, Adriaan",Adriaan Kalwij,"['Kalwij, Adriaan']"
Adriaan R. Soetevent,Adriaan R. Soetevent,"['Adriaan R. Soetevent', 'Soetevent, Adriaan R.', 'Adriaan Soetevent']"
"Alter, Adrian",Adrian Alter,"['Alter, Adrian']"
Adrian Beck,Adrian Beck,"['Adrian Beck', 'Beck, Adrian']"
"Blundell-Wignall, Adrian",Adrian Blundell-Wignall,"['Blundell-Wignall, Adrian']"
Adrian Bruhin,Adrian Bruhin,['Adrian Bruhin']
"Buss, Adrian",Adrian Buss,"['Buss, Adrian', 'Adrian Buss']"
"Raftery, Adrian E.",Adrian E. Raftery,"['Raftery, Adrian E.']"
"Tschoegl, Adrian E.",Adrian E. Tschoegl,"['Tschoegl, Adrian E.']"
"Fernandez-Perez, Adrian",Adrian Fernandez-Perez,"['Fernandez-Perez, Adrian']"
"Fleissig, Adrian",Adrian Fleissig,"['Fleissig, Adrian', 'Fleissig, Adrian R.']"
"Gottschalk, Adrian H.B.",Adrian H.B. Gottschalk,"['Gottschalk, Adrian H.B.']"
"Neale, Adrian J",Adrian J Neale,"['Neale, Adrian J', 'Neale, Adrian J.']"
"Looi, Adrian",Adrian Looi,"['Looi, Adrian']"
"Cowan, Adrian M.",Adrian M. Cowan,"['Cowan, Adrian M.']"
Adrian Masters,Adrian Masters,"['Adrian Masters', 'Masters, Adrian']"
"Orr, Adrian",Adrian Orr,"['Orr, Adrian']"
"Penalver, Adrian",Adrian Penalver,"['Penalver, Adrian']"
"Peralta-Alva, Adrian",Adrian Peralta-Alva,"['Peralta-Alva, Adrian', 'Adrian Peralta-Alva']"
"Pizzinga, Adrian",Adrian Pizzinga,"['Pizzinga, Adrian']"
"Bell, Adrian R.",Adrian R. Bell,"['Bell, Adrian R.']"
"Pagan, Adrian R.",Adrian R. Pagan,"['Pagan, Adrian R.', 'Pagan, A. R.', 'Pagan, A.', 'Pagan, A R', 'A. R. Pagan', 'Pagan, Adrian', 'Adrian Pagan', 'Pagan, Adrian R']"
"Throop, Adrian W",Adrian W Throop,"['Throop, Adrian W']"
Adrian Wood,Adrian Wood,"['Adrian Wood', 'Wood, Adrian']"
"Ziderman, Adrian",Adrian Ziderman,"['Ziderman, Adrian']"
Adriana Camacho,Adriana Camacho,['Adriana Camacho']
Adriana Cornea-Madeira,Adriana Cornea-Madeira,['Adriana Cornea-Madeira']
"Kugler, Adriana D.",Adriana D. Kugler,"['Kugler, Adriana D.', 'Adriana D. Kugler', 'Kugler, Adriana', 'Adriana Kugler']"
Adriana Di Liberto,Adriana Di Liberto,['Adriana Di Liberto']
Adriana Hernandez-Perez,Adriana Hernandez-Perez,['Adriana Hernandez-Perez']
"Korczak, Adriana",Adriana Korczak,"['Korczak, Adriana']"
Adriana Lleras-Muney,Adriana Lleras-Muney,"['Adriana Lleras-Muney', 'Lleras-Muney, Adriana']"
"Piazza, Adriana",Adriana Piazza,"['Piazza, Adriana']"
"Ponton, Adriana",Adriana Ponton,"['Ponton, Adriana']"
"Cordis, Adriana S.",Adriana S. Cordis,"['Cordis, Adriana S.']"
"Schor, Adriana",Adriana Schor,"['Schor, Adriana']"
"Rampini, Adriano A.",Adriano A. Rampini,"['Rampini, Adriano A.', 'A. Rampini, Adriano', 'Adriano A. Rampini']"
Adrien Auclert,Adrien Auclert,"['Adrien Auclert', 'Auclert, Adrien']"
"Lorenceau, Adrien",Adrien Lorenceau,"['Lorenceau, Adrien']"
"Matray, Adrien",Adrien Matray,"['Matray, Adrien', 'Adrien Matray']"
"Verdelhan, Adrien",Adrien Verdelhan,"['Verdelhan, Adrien', 'Adrien Verdelhan']"
"Vigier, Adrien",Adrien Vigier,"['Vigier, Adrien', 'Adrien Vigier']"
"Cheasty, Adrienne",Adrienne Cheasty,"['Cheasty, Adrienne']"
"Eaton, Adrienne E",Adrienne E Eaton,"['Eaton, Adrienne E']"
Adrienne M. Lucas,Adrienne M. Lucas,['Adrienne M. Lucas']
"Rumble, Adrienne S.",Adrienne S. Rumble,"['Rumble, Adrienne S.', 'Rumble, Adrienne']"
"Rossignolo, Adrián F.",Adrián F. Rossignolo,"['Rossignolo, Adrián F.']"
"Mohanty, Adwait K.",Adwait K. Mohanty,"['Mohanty, Adwait K.']"
"Pauzner, Ady",Ady Pauzner,"['Pauzner, Ady', 'Ady Pauzner']"
"Lakdawala, Aeimit",Aeimit Lakdawala,"['Lakdawala, Aeimit', 'Aeimit Lakdawala']"
"Jerome, Afeikhena",Afeikhena Jerome,"['Jerome, Afeikhena']"
Afonso S. Bevilaqua,Afonso S. Bevilaqua,['Afonso S. Bevilaqua']
"Banful, Afua Branoah",Afua Branoah Banful,"['Banful, Afua Branoah']"
Agapi Somwaru,Agapi Somwaru,['Agapi Somwaru']
"Brugiavini, Agar",Agar Brugiavini,"['Brugiavini, Agar', 'Agar Brugiavini']"
Agata Maida,Agata Maida,['Agata Maida']
"Cote, Agathe",Agathe Cote,"['Cote, Agathe']"
Aggey Semenov,Aggey Semenov,"['Aggey Semenov', 'Semenov, Aggey']"
Agne Kajackaite,Agne Kajackaite,['Agne Kajackaite']
Agnes R. Quisumbing,Agnes R. Quisumbing,"['Agnes R. Quisumbing', 'Quisumbing, Agnes R.', 'Quisumbing, Agnes']"
"Tomini, Agnes",Agnes Tomini,"['Tomini, Agnes']"
"Rusinowska, Agnieszka",Agnieszka Rusinowska,"['Rusinowska, Agnieszka']"
Agnès Bénassy-Quéré,Agnès Bénassy-Quéré,['Agnès Bénassy-Quéré']
"Zabsonré, Agnès",Agnès Zabsonré,"['Zabsonré, Agnès']"
"Capponi, Agostino",Agostino Capponi,"['Capponi, Agostino']"
"Consolo, Agostino",Agostino Consolo,"['Consolo, Agostino']"
"Manduchi, Agostino",Agostino Manduchi,"['Manduchi, Agostino']"
"Nobile, Agostino",Agostino Nobile,"['Nobile, Agostino']"
"Gueullette, Agota Anna",Agota Anna Gueullette,"['Gueullette, Agota Anna']"
"Agusman, Agusman",Agusman Agusman,"['Agusman, Agusman']"
"Carstens, Agustin",Agustin Carstens,"['Carstens, Agustin']"
"Maravall, Agustin",Agustin Maravall,"['Maravall, Agustin']"
Agustin Roitman,Agustin Roitman,['Agustin Roitman']
"Bénétrix, Agustin S.",Agustin S. Bénétrix,"['Bénétrix, Agustin S.']"
"Que, Agustin V",Agustin V Que,"['Que, Agustin V']"
"Casas, Agustín",Agustín Casas,"['Casas, Agustín']"
Agustín S. Bénétrix,Agustín S. Bénétrix,"['Agustín S. Bénétrix', 'Agustín Bénétrix']"
"Sim, Ah Boon",Ah Boon Sim,"['Sim, Ah Boon']"
"Meir, Aharon",Aharon Meir,"['Meir, Aharon']"
"Ofer, Aharon R.",Aharon R. Ofer,"['Ofer, Aharon R.', 'Ofer, A R', 'Ofer, Aharon R']"
"El-Safty, Ahmad E.",Ahmad E. El-Safty,"['El-Safty, Ahmad E.']"
"Ebrahimi, Ahmad",Ahmad Ebrahimi,"['Ebrahimi, Ahmad']"
"Etebari, Ahmad",Ahmad Etebari,"['Etebari, Ahmad']"
"Naimzada, Ahmad K.",Ahmad K. Naimzada,"['Naimzada, Ahmad K.']"
"Peivandi, Ahmad",Ahmad Peivandi,"['Peivandi, Ahmad']"
"Barakat, Ahmed",Ahmed Barakat,"['Barakat, Ahmed']"
"Belkaoui, Ahmed",Ahmed Belkaoui,"['Belkaoui, Ahmed']"
Ahmed Khwaja,Ahmed Khwaja,"['Ahmed Khwaja', 'Khwaja, Ahmed']"
Ahmed Kooros,Ahmed Kooros,['Ahmed Kooros']
"Khalid, Ahmed M.",Ahmed M. Khalid,"['Khalid, Ahmed M.']"
"Rahman, Ahmed S.",Ahmed S. Rahman,"['Rahman, Ahmed S.', 'Ahmed S. Rahman', 'Ahmed Rahman']"
"Skali, Ahmed",Ahmed Skali,"['Skali, Ahmed']"
"Tahoun, Ahmed",Ahmed Tahoun,"['Tahoun, Ahmed']"
"Tritah, Ahmed",Ahmed Tritah,"['Tritah, Ahmed']"
"Akyol, Ahmet",Ahmet Akyol,"['Akyol, Ahmet']"
"Alkan, Ahmet",Ahmet Alkan,"['Alkan, Ahmet', 'Ahmet U. Alkan']"
"Baytas, Ahmet",Ahmet Baytas,"['Baytas, Ahmet']"
"Tekiner, Ahmet C.",Ahmet C. Tekiner,"['Tekiner, Ahmet C.']"
"Kocagil, Ahmet E.",Ahmet E. Kocagil,"['Kocagil, Ahmet E.']"
"Aysan, Ahmet Faruk",Ahmet Faruk Aysan,"['Aysan, Ahmet Faruk']"
"Ozcam, Ahmet",Ahmet Ozcam,"['Ozcam, Ahmet']"
"Mansur, Ahsan",Ahsan Mansur,"['Mansur, Ahsan']"
Ahuva Mu'alem,Ahuva Mu'alem,"[""Ahuva Mu'alem""]"
"Deng, Ai",Ai Deng,"['Deng, Ai']"
Ai-Ru (Meg) Cheng,Ai-Ru (Meg) Cheng,['Ai-Ru (Meg) Cheng']
"Koh, Ai-Tee",Ai-Tee Koh,"['Koh, Ai-Tee']"
"Goh, Ai-Ting",Ai-Ting Goh,"['Goh, Ai-Ting']"
"Cheng, Ai-ru (Meg)",Ai-ru (Meg) Cheng,"['Cheng, Ai-ru (Meg)']"
Aico Van Vuuren,Aico Van Vuuren,['Aico Van Vuuren']
Aico van Vuuren,Aico van Vuuren,"['Aico van Vuuren', 'van Vuuren, Aico']"
"Akhigbe, Aigbe",Aigbe Akhigbe,"['Akhigbe, Aigbe']"
"Shibata, Aiko N",Aiko N Shibata,"['Shibata, Aiko N']"
"Thompson, Aileen J.",Aileen J. Thompson,"['Thompson, Aileen J.']"
"van der Veen, Ailko",Ailko van der Veen,"['van der Veen, Ailko']"
Ailsa A. Röell,Ailsa A. Röell,"['Ailsa A. Röell', 'Ailsa Röell']"
Ailsa Roell,Ailsa Roell,"['Ailsa Roell', 'Roell, Ailsa A', 'Roell, Ailsa', 'Roell, Ailsa A.']"
Aimee Chin,Aimee Chin,"['Aimee Chin', 'Chin, Aimee']"
"Ronn, Aimee Gerbarg",Aimee Gerbarg Ronn,"['Ronn, Aimee Gerbarg']"
"Erce, Aitor",Aitor Erce,"['Erce, Aitor']"
"Lacuesta, Aitor",Aitor Lacuesta,"['Lacuesta, Aitor']"
"Dey, Aiyesha",Aiyesha Dey,"['Dey, Aiyesha']"
Ajai K. Singh,Ajai K. Singh,"['Ajai K. Singh', 'Singh, Ajai', 'Singh, Ajai K.']"
"Patil, Ajay A.",Ajay A. Patil,"['Patil, Ajay A.']"
"Agrawal, Ajay",Ajay Agrawal,"['Agrawal, Ajay', 'Ajay Agrawal']"
"Bhootra, Ajay",Ajay Bhootra,"['Bhootra, Ajay']"
"Dravid, Ajay",Ajay Dravid,"['Dravid, Ajay', 'Dravid, Ajay R']"
"Khorana, Ajay",Ajay Khorana,"['Khorana, Ajay', 'Ajay Khorana']"
"Maindiratta, Ajay",Ajay Maindiratta,"['Maindiratta, Ajay']"
Ajay Patel,Ajay Patel,"['Ajay Patel', 'Patel, Ajay']"
"Mahal, Ajay S.",Ajay S. Mahal,"['Mahal, Ajay S.']"
"Shenoy, Ajay",Ajay Shenoy,"['Shenoy, Ajay']"
Ajay Subramanian,Ajay Subramanian,"['Ajay Subramanian', 'Subramanian, Ajay', 'Subramanian, A.']"
Ajeyo Banerjee,Ajeyo Banerjee,['Ajeyo Banerjee']
"Chaudhury, Ajit K.",Ajit K. Chaudhury,"['Chaudhury, Ajit K.']"
"Dasgupta, Ajit K.",Ajit K. Dasgupta,"['Dasgupta, Ajit K.', 'Ajit Dasgupta']"
"Mishra, Ajit",Ajit Mishra,"['Mishra, Ajit']"
Ajit Singh,Ajit Singh,"['Ajit Singh', 'Singh, Ajit']"
"Blomqvist, Ake G",Ake G Blomqvist,"['Blomqvist, Ake G', 'Blomqvist, Ake', 'Blomqvist, A G', 'Blomqvist, A.', 'Blomqvist, A. G.']"
"N'Gbo, Ake",Ake N'Gbo,"[""N'Gbo, Ake""]"
Akhmed Akhmedov,Akhmed Akhmedov,['Akhmed Akhmedov']
Akhtar R. Siddique,Akhtar R. Siddique,"['Akhtar R. Siddique', 'Siddique, Akhtar R.', 'Siddique, Akhtar', 'Akhtar Siddique']"
"Kaneko, Akihiko",Akihiko Kaneko,"['Kaneko, Akihiko']"
Akihiko Matsui,Akihiko Matsui,"['Akihiko Matsui', 'Matsui, Akihiko']"
Akihiro Amano,Akihiro Amano,"['Akihiro Amano', 'Amano, Akihiro']"
"Shibata, Akihisa",Akihisa Shibata,"['Shibata, Akihisa']"
"Watanabe, Akiko",Akiko Watanabe,"['Watanabe, Akiko', 'Akiko Watanabe']"
Akila Weerapana,Akila Weerapana,['Akila Weerapana']
"Sayrak, Akin",Akin Sayrak,"['Sayrak, Akin']"
"Adesina, Akinwumi A.",Akinwumi A. Adesina,"['Adesina, Akinwumi A.']"
Akio Kagawa,Akio Kagawa,['Akio Kagawa']
"Goto, Akira",Akira Goto,"['Goto, Akira']"
"Konakayama, Akira",Akira Konakayama,"['Konakayama, Akira']"
Akira Maeda,Akira Maeda,['Akira Maeda']
"Momota, Akira",Akira Momota,"['Momota, Akira']"
"Nishiyama, Akira",Akira Nishiyama,"['Nishiyama, Akira']"
Akira Okada,Akira Okada,"['Akira Okada', 'Okada, Akira']"
"Takayama, Akira",Akira Takayama,"['Takayama, Akira', 'Akira Takayama']"
Akira Yakita,Akira Yakita,"['Akira Yakita', 'Yakita, Akira']"
"Yamazaki, Akira",Akira Yamazaki,"['Yamazaki, Akira']"
"Matsumoto, Akito",Akito Matsumoto,"['Matsumoto, Akito', 'Akito Matsumoto']"
"Horiuchi, Akiyoshi",Akiyoshi Horiuchi,"['Horiuchi, Akiyoshi']"
"Tonogi, Akiyuki",Akiyuki Tonogi,"['Tonogi, Akiyuki']"
Akos Valentinyi,Akos Valentinyi,['Akos Valentinyi']
Akram Temimi,Akram Temimi,['Akram Temimi']
"Erbahar, Aksel",Aksel Erbahar,"['Erbahar, Aksel']"
"Katta, Akshay-Kumar",Akshay-Kumar Katta,"['Katta, Akshay-Kumar']"
Akwasi Nti-Addae,Akwasi Nti-Addae,['Akwasi Nti-Addae']
"Ringleb, Al H",Al H Ringleb,"['Ringleb, Al H']"
"Schwarzkopf, Al",Al Schwarzkopf,"['Schwarzkopf, Al']"
"Slivinski, Al",Al Slivinski,"['Slivinski, Al', 'Al Slivinski']"
Al-Najjar Nabil,Al-Najjar Nabil,['Al-Najjar Nabil']
Al?cia Adser?,Al?cia Adser?,['Al?cia Adser?']
"Guidara, Alaa",Alaa Guidara,"['Guidara, Alaa']"
"Mofidi, Alaeddin",Alaeddin Mofidi,"['Mofidi, Alaeddin']"
"Bultez, Alain",Alain Bultez,"['Bultez, Alain']"
"Enthoven, Alain C",Alain C Enthoven,"['Enthoven, Alain C']"
"Chaboud, Alain",Alain Chaboud,"['Chaboud, Alain', 'Alain P. Chaboud', 'Chaboud, Alain P.']"
"Chateauneuf, Alain",Alain Chateauneuf,"['Chateauneuf, Alain', 'Alain Chateauneuf']"
Alain Cohn,Alain Cohn,['Alain Cohn']
"De Janvry, Alain",Alain De Janvry,"['De Janvry, Alain', 'Alain Janvry']"
"Delacroix, Alain",Alain Delacroix,"['Delacroix, Alain']"
"Desdoigts, Alain",Alain Desdoigts,"['Desdoigts, Alain']"
"Guay, Alain",Alain Guay,"['Guay, Alain', 'Alain Guay']"
"Hamid, Alain",Alain Hamid,"['Hamid, Alain']"
"Hecq, Alain",Alain Hecq,"['Hecq, Alain']"
"Ize, Alain",Alain Ize,"['Ize, Alain']"
"Jousten, Alain",Alain Jousten,"['Jousten, Alain']"
"Leroux, Alain",Alain Leroux,"['Leroux, Alain']"
"Lipietz, Alain",Alain Lipietz,"['Lipietz, Alain']"
"Sunier, Alain M",Alain M Sunier,"['Sunier, Alain M']"
Alain Marciano,Alain Marciano,['Alain Marciano']
"Paquet, Alain",Alain Paquet,"['Paquet, Alain']"
"Pirotte, Alain",Alain Pirotte,"['Pirotte, Alain']"
Alain Serres,Alain Serres,"['Alain Serres', 'de Serres, Alain']"
Alain Trannoy,Alain Trannoy,"['Alain Trannoy', 'Trannoy, Alain']"
"Trognon, Alain",Alain Trognon,"['Trognon, Alain', 'Trognon, A.']"
"Venditti, Alain",Alain Venditti,"['Venditti, Alain']"
"de Crombrugghe, Alain",Alain de Crombrugghe,"['de Crombrugghe, Alain']"
"Townsend, Alair A",Alair A Townsend,"['Townsend, Alair A']"
Alaka Holla,Alaka Holla,"['Alaka Holla', 'Holla, Alaka']"
"Kirman, Alam P.",Alam P. Kirman,"['Kirman, Alam P.']"
"Brown, Alan A",Alan A Brown,"['Brown, Alan A', 'Brown, Alan']"
"Rabin, Alan A.",Alan A. Rabin,"['Rabin, Alan A.']"
Alan A. Walters,Alan A. Walters,"['Alan A. Walters', 'A. A. Walters', 'Walters, A A', 'Walters, Alan A.']"
"Abouchar, Alan",Alan Abouchar,"['Abouchar, Alan']"
Alan B. Batchelder,Alan B. Batchelder,['Alan B. Batchelder']
Alan B. Keueger,Alan B. Keueger,['Alan B. Keueger']
Alan B. Kreuger,Alan B. Kreuger,['Alan B. Kreuger']
Alan Benson,Alan Benson,['Alan Benson']
"Bowers, Alan",Alan Bowers,"['Bowers, Alan']"
"Shapiro, Alan C",Alan C Shapiro,"['Shapiro, Alan C', 'Shapiro, Alan C.']"
"Stockman, Alan C",Alan C Stockman,"['Stockman, Alan C', 'Stockman, Alan C.']"
Alan C. Hess,Alan C. Hess,"['Alan C. Hess', 'Hess, Alan C.', 'Hess, Alan C']"
